net,length_um
net2,90.21µm
_22_,83.08µm
_13_,58.9µm
clknet_1_0__leaf_clk_i,57.88µm
net8,55.54µm
net7,51.72µm
_15_,51.06µm
net3,44.34µm
clk_i,44.1µm
clknet_1_1__leaf_clk_i,36.6µm
net4,33.14µm
net1,32.73µm
_16_,30.24µm
net6,29.73µm
_19_,25.86µm
_09_,25.25µm
net9,23.62µm
clknet_0_clk_i,22.96µm
net10,19.7µm
net11,19.6µm
_21_,19.09µm
_29_,19.09µm
_31_,18.48µm
count_o[0],16.66µm
_14_,16.29µm
net5,15.78µm
_28_,14.66µm
_04_,14µm
_33_,12.42µm
_32_,11.81µm
count_o[1],11.62µm
_05_,11.2µm
_10_,10.69µm
_12_,10.64µm
_20_,10.64µm
count_o[4],9.94µm
_23_,9.57µm
en_i,9.38µm
rst_ni,9.38µm
count_o[7],8.82µm
_26_,8.45µm
_02_,8.4µm
_00_,7.33µm
_18_,7.28µm
count_o[3],7.14µm
_30_,6.77µm
_17_,6.72µm
_24_,6.72µm
count_o[5],6.58µm
count_o[6],6.58µm
ovf_o,6.58µm
_06_,6.21µm
_07_,6.16µm
count_o[2],6.02µm
_25_,5.14µm
_01_,4.48µm
_03_,4.48µm
_27_,3.36µm
_08_,2.8µm
_11_,1.68µm
